- Paulo Violante (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Monje (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Estéfany Vargas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Mansilla Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Dominic Luna Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Martabit Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Vidal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Patrick Lobos (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina López Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Roselord Borgella Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Lindsay Zullo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Aravena Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Reyes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Miguel Curiel (PER) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Nicolás Palma Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Nino Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Jordan San Martín Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Sáez (2001) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Pablo Pereira (Sub-20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Roa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Meneses Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- María José Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Luis Jiménez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Ángel Orellana Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Gabriel Rodríguez (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Lucas Fernández (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 27. John Montaño (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yenny Acuña Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Kevin Mellado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Paola Villamizar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Hernández Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Diego Alvarado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Barrera (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Angelina Hix Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
