- 10. Waleska Campusano Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Priscila Ellena (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Barrientos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Karla Paredes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Montero Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Azócar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Chávez (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Johansen (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Dixon Pereira (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Mundaca (2007) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Saavedra (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudia Salfate Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Mettifogo (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Mosquera (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jonatan Bauman (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Julio (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cecilio Waterman (PAN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Reynero Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Belén Bustos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Delgado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Krishna Cisternas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Fredes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Riquelme (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Guido Vadalá (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Pratto (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Riveros (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Patricio Graff (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Germán Corengia (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Rafael Celedón Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan José Ribera Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Solis Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Tapia Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Riffo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. José Ilabaca Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Díaz Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Esteban González Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Ignacio González Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Hernán Caputto Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Macarena Carvajal Portera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Martina Hidalgo Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Evelyn Araya Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Elena Cortés Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Bárbara González Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Cano (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yashir Islame Pinto​ | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Retamal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kilian Delgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Diego Gonzalez Saavedra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Zavala | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Galani | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Isaías Meneses | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Francisco Ayala | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
