- Valentina Núñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Pilar León Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Rachel Padrón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Contansa Ojeda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joe Abrigo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Montes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Palacio (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Linares (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Paloma Bustamante Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rachel Padrón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Paillán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Mancilla (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Drewes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Oses Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Muñoz Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alondra Arce Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vaythiare Ríos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jason León Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Parra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Machur Yunes (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- María Paz Blanco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alessandra Brito (BRA) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Anaís Varas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Moyra Godoy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Maturana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Gallegos (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. José Luis Muñoz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Gutiérrez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Barrientos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Diego Vallejos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Fabián Ahumada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Nicolás Gutiérrez (Sub-20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Campos López Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- María José Urrutia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Verónica Riquelme Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Gutiérrez (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Zedán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Paredes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Tarifeño Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
