- DT. Francisco Arrué Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Felipe Salinas Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Ibáñez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Víctor Barría Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Germán Cavalieri (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Iván Endre Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gary López Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Iván Sandrock Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Ivania Durán Portera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Javiera Gómez Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. María Callpa Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Magdalena Lazo Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Joan Beyzaga Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Fernández | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Bairon Monroy (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardo Mendoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Melivilú | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Guerra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Kalise | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Felipe Cornejo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Vilches | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Gaete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Isla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Giovanni Arnáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Medina | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Meza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Kevin Orrián | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ávila | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Iturra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nery Veloso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Robert Matías González (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Campos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Williams Villegas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Godoy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Lopes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Aravena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renato González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 36. Mauricio Arias (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Oliver Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Celis | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Benavides | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Hernán Peña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nahuel Donadell | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Manosalva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Millán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Faúndez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Ramón Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Aguilera Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Federico Millacet (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Avilés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Navarro (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Baeza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bairon Monroy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Korben Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Cristian Barrientos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Jorge Pereyra (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Pavez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Retamal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Báez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Gaspar Iñíguez (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kilian Delgado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Ureta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Llantén | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Piero Gárate | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Rafael Viotti (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Roberto Hernández (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Zederick Vega (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Arias (2001) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Vilches (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Diego Ochoa (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Moya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Mirko Serrano | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Sebastián Cuerdo (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Sebastián Prado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Juan Pastenes (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Rivera Arévalo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Ubilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 37. Claudio Palominos (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Raniery Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Wilfredo Vargas (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Bravo Naranjo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 40. Luis Torres Moroso (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Kenny Mamani | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 55. Francisco Anabalón (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Rosales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Ivania Durán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Bianca Jiménez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Evelyn Carlos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
