- César Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Dávila Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Khishna Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Karen Coloma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Castillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Melissa Espina Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yessenia Huenteo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Gómez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan David Bacca (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Gómez (PAR) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Venezia (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Olguín (2010) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Garrido Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Damir Ponce (2008) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- David Tello (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Pereyra (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Leonardo Espinoza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- César Huanca Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Cubillos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Becerra Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Vadulli Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Nicolás Royón Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Leonardo Melazzi Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Johan Castillo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Mariano Barbieri (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Donoso Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Salinas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Edwuin Pernía (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Jacobo Kouffaty (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Kevin Mellado Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yenny Acuña Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
