- Nathalie Quezada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Ramírez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Millaray Palma Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Crot Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Ramírez (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Vilches Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Félix Triñanes (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ailen Zárate (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Oliver Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Thiare Parraguez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Agustina Moya Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yael Oviedo (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Amelia Muñoz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maylin Coñocar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Julián Brea (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Huerta Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Steffan Pino Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Moreno Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gustavo Huerta Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Carlos Escudero Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. David Rios Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mauricio Palacios Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mónica Ledezma Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
